claim_id,policy_id,claim_date,claim_amount,claim_status,claim_reason,batch_id,load_timestamp
CLM000001,POL00913,2023-07-31,722.77,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000002,POL01829,2023-07-31,3574.49,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000003,POL04468,2023-07-31,2264.78,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000004,POL00245,2023-07-31,2433.01,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000005,POL04932,2023-07-31,760.75,Approved,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000006,POL03437,2023-07-31,5588.97,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000007,POL00054,2023-08-01,18994.30,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000008,POL03463,2023-08-01,8572.24,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000009,POL02758,2023-08-01,2645.04,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000010,POL02941,2023-08-01,21202.61,Pending,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000011,POL00356,2023-08-01,18270.32,Pending,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000012,POL03101,2023-08-01,2062.12,Denied,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000013,POL02963,2023-08-01,14476.07,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000014,POL00376,2023-08-02,16565.46,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000015,POL01908,2023-08-02,21675.44,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000016,POL03715,2023-08-02,15928.54,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000017,POL03033,2023-08-02,8946.24,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000018,POL00585,2023-08-03,15267.36,Approved,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000019,POL02006,2023-08-03,4168.72,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000020,POL04563,2023-08-03,5568.42,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000021,POL01877,2023-08-03,20562.88,Denied,Hit and run,batch_001,2026-07-31T00:00:00
CLM000022,POL02194,2023-08-03,1748.10,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000023,POL02578,2023-08-04,5394.40,Denied,Burglary,batch_001,2026-07-31T00:00:00
CLM000024,POL03759,2023-08-04,3657.50,Approved,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000025,POL04599,2023-08-04,13520.53,Pending,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000026,POL03510,2023-08-04,22455.79,Denied,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000027,POL01797,2023-08-05,24933.41,Approved,Vandalism damage,batch_001,2026-07-31T00:00:00
CLM000028,POL04043,2023-08-05,2363.64,Approved,Water damage,batch_001,2026-07-31T00:00:00
CLM000029,POL01253,2023-08-05,15723.41,Pending,Terminal illness claim,batch_001,2026-07-31T00:00:00
CLM000030,POL04886,2023-08-05,1681.84,Denied,Fallen tree damage,batch_001,2026-07-31T00:00:00
CLM000031,POL03835,2023-08-06,13274.95,Pending,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000032,POL00939,2023-08-06,17074.59,Pending,Roof damage from storm,batch_001,2026-07-31T00:00:00
CLM000033,POL02787,2023-08-06,2877.65,Denied,Emergency room visit,batch_001,2026-07-31T00:00:00
CLM000034,POL03717,2023-08-07,180.81,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000035,POL02158,2023-08-07,24300.01,Approved,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000036,POL00872,2023-08-07,21775.91,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000037,POL04989,2023-08-07,5052.89,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000038,POL04419,2023-08-07,23842.14,Pending,Vehicle collision,batch_001,2026-07-31T00:00:00
CLM000039,POL04907,2023-08-08,8171.49,Approved,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000040,POL02974,2023-08-08,21980.17,Denied,Fire damage,batch_001,2026-07-31T00:00:00
CLM000041,POL00475,2023-08-08,6097.70,Pending,Medical procedure,batch_001,2026-07-31T00:00:00
CLM000042,POL00702,2023-08-08,18324.50,Approved,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000043,POL01031,2023-08-08,3296.95,Denied,Hospital stay,batch_001,2026-07-31T00:00:00
CLM000044,POL01353,2023-08-08,6699.91,Pending,Hit and run,batch_001,2026-07-31T00:00:00
CLM000045,POL01736,2023-08-08,23229.95,Pending,Accidental death claim,batch_001,2026-07-31T00:00:00
CLM000046,POL01648,2023-08-09,17852.43,Denied,Theft of vehicle,batch_001,2026-07-31T00:00:00
CLM000047,POL03589,2023-08-09,22500.39,Denied,Death benefit claim,batch_001,2026-07-31T00:00:00
CLM000048,POL02031,2023-08-09,5694.96,Denied,Water damage,batch_001,2026-07-31T00:00:00
CLM000049,POL04820,2023-08-09,13892.65,Pending,Death benefit claim,batch_001,2026-07-31T00:00:00
