policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,policy_status,batch_id,load_timestamp
POL00001,CUST01127,Home,2022-07-11,2025-07-10,734.39,Active,batch_001,2026-07-31T00:00:00
POL00002,CUST00357,Life,2021-10-16,2022-10-16,3735.06,Active,batch_001,2026-07-31T00:00:00
POL00003,CUST00953,Auto,2023-12-02,2024-12-01,649.74,Cancelled,batch_001,2026-07-31T00:00:00
POL00004,CUST01719,Home,2023-08-30,2024-08-29,3636.89,Lapsed,batch_001,2026-07-31T00:00:00
POL00005,CUST00027,Home,2023-06-24,2026-06-23,1535.32,Cancelled,batch_001,2026-07-31T00:00:00
POL00006,CUST00637,Home,2022-10-07,2024-10-06,1833.20,Lapsed,batch_001,2026-07-31T00:00:00
POL00007,CUST00397,Health,2022-06-14,2023-06-14,645.18,Lapsed,batch_001,2026-07-31T00:00:00
POL00008,CUST00178,Life,2026-03-21,2029-03-20,1469.70,Cancelled,batch_001,2026-07-31T00:00:00
POL00009,CUST01551,Auto,2022-04-27,2023-04-27,4870.96,Cancelled,batch_001,2026-07-31T00:00:00
POL00010,CUST01482,Home,2025-03-02,2027-03-02,4181.14,Cancelled,batch_001,2026-07-31T00:00:00
POL00011,CUST00934,Health,2021-11-06,2022-11-06,419.96,Active,batch_001,2026-07-31T00:00:00
POL00012,CUST01557,Health,2021-10-31,2022-10-31,4359.12,Lapsed,batch_001,2026-07-31T00:00:00
POL00013,CUST00667,Health,2022-05-18,2025-05-17,4203.73,Lapsed,batch_001,2026-07-31T00:00:00
POL00014,CUST00293,Home,2023-06-10,2024-06-09,3416.84,Cancelled,batch_001,2026-07-31T00:00:00
POL00015,CUST01894,Life,2023-07-23,2026-07-22,1375.09,Lapsed,batch_001,2026-07-31T00:00:00
POL00016,CUST00900,Health,2025-11-17,2028-11-16,3503.18,Active,batch_001,2026-07-31T00:00:00
POL00017,CUST01293,Life,2021-10-21,2022-10-21,4144.65,Lapsed,batch_001,2026-07-31T00:00:00
POL00018,CUST01289,Home,2026-05-09,2027-05-09,1212.72,Cancelled,batch_001,2026-07-31T00:00:00
POL00019,CUST01880,Home,2023-04-09,2025-04-08,2099.03,Lapsed,batch_001,2026-07-31T00:00:00
