policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,policy_status,batch_id,load_timestamp
POL05101,CUST99654,Home,2024-08-24,2025-08-24,3636.89,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05102,CUST96924,Home,2023-02-07,2025-02-06,4085.27,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05103,CUST91519,Health,2024-02-24,2026-02-23,1533.78,Active,batch_003_defects,2026-08-04T17:51:10
POL05104,CUST97527,Health,2021-09-11,2023-09-11,664.24,Active,batch_003_defects,2026-08-04T17:51:10
POL05105,CUST94803,Auto,2026-02-13,2029-02-12,799.17,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05106,CUST91139,Home,2022-08-27,2025-08-26,3168.89,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05107,CUST91654,Auto,2023-11-29,2024-11-28,3374.06,Active,batch_003_defects,2026-08-04T17:51:10
POL05108,CUST95820,Home,2021-12-18,2023-12-18,1534.27,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05109,CUST94010,Home,2022-01-15,2023-01-15,3416.84,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05110,CUST95313,Home,2026-04-14,2027-04-14,2418.85,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05111,CUST94386,Health,2024-01-23,2025-01-22,1299.43,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05112,CUST98179,Home,2022-08-26,2023-08-26,1212.72,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05113,CUST92287,Home,2025-10-02,2027-10-02,4446.48,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05114,CUST96543,Life,2022-06-13,2023-06-13,3775.95,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05115,CUST90771,Life,2021-09-06,2023-09-06,1252.74,Active,batch_003_defects,2026-08-04T17:51:10
POL05116,CUST00656,Life,2026-06-17,2027-06-17,-364.46,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05117,CUST01918,Health,2023-12-30,2025-12-29,-4310.86,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05118,CUST00470,Health,2025-07-27,2026-07-27,-1733.87,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05119,CUST01859,Auto,2025-08-25,2027-08-25,-4385.47,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05120,CUST00732,Auto,2025-04-28,2027-04-28,-1527.30,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05121,CUST00815,Home,2024-06-22,2027-06-22,-3824.43,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05122,CUST00003,Health,2023-02-22,2026-02-21,-146.41,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05123,CUST01260,Home,2022-01-05,2024-01-05,-1242.31,Active,batch_003_defects,2026-08-04T17:51:10
POL05124,CUST00351,Life,2023-09-22,2026-09-21,-4891.02,Active,batch_003_defects,2026-08-04T17:51:10
POL05125,CUST00526,Life,2025-08-22,2028-08-21,-867.38,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05126,CUST01734,Home,2022-07-19,2025-07-18,-3788.56,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05127,CUST01277,Life,2022-02-18,2025-02-17,-3266.90,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05128,CUST01850,Auto,2024-12-25,2026-12-25,-1162.25,Active,batch_003_defects,2026-08-04T17:51:10
POL05129,CUST00943,Home,2025-10-04,2027-10-04,-401.42,Active,batch_003_defects,2026-08-04T17:51:10
POL05130,CUST00277,Auto,2022-03-17,2025-03-16,-400.74,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05131,CUST01989,Home,2026-06-26,2026-04-19,1536.69,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05132,CUST01937,Home,2022-01-12,2021-06-17,4690.47,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05133,CUST01766,Health,2022-11-13,2022-04-16,652.76,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05134,CUST00222,Auto,2022-11-05,2022-04-12,4346.42,Active,batch_003_defects,2026-08-04T17:51:10
POL05135,CUST00448,Home,2026-05-13,2026-02-04,1828.65,Active,batch_003_defects,2026-08-04T17:51:10
POL05136,CUST01729,Home,2024-02-28,2023-07-06,2353.35,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05137,CUST00309,Life,2022-04-20,2022-02-28,4397.53,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05138,CUST00061,Auto,2023-09-09,2023-06-15,3330.30,Active,batch_003_defects,2026-08-04T17:51:10
POL05139,CUST00876,Life,2022-08-02,2022-05-09,2531.08,Active,batch_003_defects,2026-08-04T17:51:10
POL05140,CUST01600,Health,2026-04-28,2025-12-02,210.35,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05141,CUST01994,Home,2025-02-12,2024-09-13,3543.64,Active,batch_003_defects,2026-08-04T17:51:10
POL05142,CUST00250,Health,2023-07-01,2023-06-05,4849.80,Active,batch_003_defects,2026-08-04T17:51:10
POL05143,CUST00645,Auto,2026-01-08,2025-11-27,2488.58,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL05144,CUST00279,Home,2024-10-23,2024-08-22,528.90,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL05145,CUST00163,Auto,2025-05-29,2024-06-26,1381.83,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL04782,CUST00640,Life,2021-11-19,2023-11-19,461.12,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL04631,CUST02021,Home,2025-01-09,2028-01-09,958.42,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL04283,CUST01413,Life,2024-10-13,2025-10-13,420.44,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL02592,CUST01163,Life,2024-02-02,2025-02-01,3806.66,Active,batch_003_defects,2026-08-04T17:51:10
POL02137,CUST01792,Home,2023-07-21,2025-07-20,2682.93,Active,batch_003_defects,2026-08-04T17:51:10
POL01674,CUST00857,Auto,2024-07-05,2027-07-05,3593.45,Active,batch_003_defects,2026-08-04T17:51:10
POL02574,CUST00325,Life,2023-07-21,2026-07-20,1432.92,Active,batch_003_defects,2026-08-04T17:51:10
POL01956,CUST00146,Life,2024-01-03,2027-01-02,4163.49,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL02176,CUST02043,Auto,2025-01-09,2026-01-09,4053.08,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL03243,CUST00754,Auto,2023-08-08,2025-08-07,4798.71,Active,batch_003_defects,2026-08-04T17:51:10
POL01073,CUST01999,Life,2023-03-12,2025-03-11,2884.62,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL02458,CUST00334,Auto,2025-06-30,2028-06-29,4321.53,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL03746,CUST01757,Health,2024-09-29,2025-09-29,3158.14,Cancelled,batch_003_defects,2026-08-04T17:51:10
POL02591,CUST01441,Life,2022-04-22,2025-04-21,3007.70,Lapsed,batch_003_defects,2026-08-04T17:51:10
POL00595,CUST00673,Life,2023-10-16,2026-10-15,2903.80,Lapsed,batch_003_defects,2026-08-04T17:51:10
